fault,batch,interval,window_start_h,window_end_h,feature,feature_column,window_score_max_41,frozen_threshold,score_over_threshold,positive,n_active_variables,active_variables,dominant_variable
1,4,5-10h,5.0,10.0,diff,diff_std_ratio,1.2308430912255226,1.4051245046201666,0.8759672806063861,False,0.0,,XMEAS-26
1,4,5-10h,5.0,10.0,any-primary,any-primary,,,,False,,,
1,4,10-15h,10.0,15.0,level,abs_shift_sigma,76.32062464793628,1.9695333234149084,38.75061352889754,True,28.0,XMEAS-1;XMEAS-4;XMEAS-5;XMEAS-6;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-13;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-26;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-1
1,4,10-15h,10.0,15.0,trend,abs_slope_sigma_h,31.279479102015372,0.7468621213669596,41.88119628394792,True,27.0,XMEAS-1;XMEAS-3;XMEAS-4;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-24;XMEAS-25;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-1
1,4,10-15h,10.0,15.0,residual,residual_std_ratio,13.813272931016964,1.3681613543196571,10.096230892215095,True,29.0,XMEAS-1;XMEAS-4;XMEAS-5;XMEAS-6;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-26;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-10
1,4,10-15h,10.0,15.0,diff,diff_std_ratio,1.9150353039510264,1.4051245046201666,1.362893677858603,True,2.0,XMEAS-10;XMEAS-31,XMEAS-10
1,4,10-15h,10.0,15.0,any-primary,any-primary,,,,True,,,
1,5,0-5h,0.0,5.0,level,abs_shift_sigma,0.5102054943621046,1.9695333234149084,0.2590489271222262,False,0.0,,XMEAS-1
1,5,0-5h,0.0,5.0,trend,abs_slope_sigma_h,0.19379541628231253,0.7468621213669596,0.25947950865096026,False,0.0,,XMEAS-26
1,5,0-5h,0.0,5.0,residual,residual_std_ratio,1.1640276657944226,1.3681613543196571,0.8507970657987605,False,0.0,,XMEAS-23
1,5,0-5h,0.0,5.0,diff,diff_std_ratio,1.2739349745739845,1.4051245046201666,0.9066349425870661,False,0.0,,XMEAS-23
1,5,0-5h,0.0,5.0,any-primary,any-primary,,,,False,,,
1,5,5-10h,5.0,10.0,level,abs_shift_sigma,0.4594553728583184,1.9695333234149084,0.23328133999869777,False,0.0,,XMEAS-34
