,result,table,_time,device,plant,ERROR1
,_result,76,2026-09-04T20:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T20:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T21:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T21:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T21:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T21:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T22:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T22:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T22:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T22:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T23:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T23:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T23:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T23:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T00:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T00:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T00:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T00:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T01:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T01:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T01:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T01:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T02:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T02:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T02:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T02:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T03:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T03:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T03:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T03:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T04:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T04:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T04:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T04:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T05:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T05:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T05:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T05:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T06:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T06:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T06:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T06:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T07:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T07:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T07:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T07:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T08:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T08:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T08:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T08:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T09:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T09:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T09:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T09:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-05T10:00:00Z,369054,Bisceglie,0
