scenario_index,status,delta3,discordance,a,b,pattern,rho,procedure,rejections,phat,mcse,ci_low,ci_high
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,tango_0.025,2845,0.02845,0.0005257432595858933,0.027428256525243427,0.029499214598722793
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,tango_0.05,5419,0.05419,0.0007159151060007045,0.05279477781454574,0.055611149833621455
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,hoeffding_h3_0.05,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,tango_0.025,3952,0.03952,0.0006161020175263185,0.03832083379991514,0.040745967368917155
12,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.1,tango_0.05,7196,0.07196,0.000817201067057551,0.07036574620202643,0.07357913349951802
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,hoeffding_h3_0.025,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,hoeffding_h3_0.05,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,tango_0.025,6347,0.06347,0.000770983521873198,0.06196657677517697,0.06499880265875489
13,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.2,tango_0.05,10936,0.10936,0.0009869163611978472,0.10743202825261948,0.11131066152456391
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,hoeffding_h3_0.025,21,0.00021,4.582094499243768e-05,0.00012999786039684025,0.00032098949005102703
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,hoeffding_h3_0.05,34,0.00034,5.829960548751595e-05,0.00023547101538208486,0.0004750838219411014
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,tango_0.025,12533,0.12533,0.0010470071207971797,0.12328379064048416,0.1273979672831217
14,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.4,tango_0.05,19672,0.19672,0.0012570650007060096,0.19426001987192487,0.1991975828116856
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,tango_0.025,2006,0.02006,0.00044336888027916437,0.01919995401293761,0.020948038930297022
15,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.0,tango_0.05,4102,0.04102,0.0006271950223016761,0.03979904828992591,0.042267663004337847
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,tango_0.025,2873,0.02873,0.000528247925693987,0.027703339277703153,0.029784114705815136
16,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.05,tango_0.05,5515,0.05515,0.0007218620193638116,0.05374309424544452,0.05658277657122398
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,tango_0.025,3775,0.03775,0.0006027017297137947,0.03657714938193717,0.038949758059751385
17,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.1,tango_0.05,7079,0.07079,0.000811041157402015,0.06920785327556558,0.07239709521099491
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,hoeffding_h3_0.05,3,3e-05,1.732024826611905e-05,6.18676395892203e-06,8.7670202566362e-05
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,tango_0.025,6365,0.06365,0.0007720017972777006,0.062144575778172416,0.06518079304496123
18,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.2,tango_0.05,11133,0.11133,0.000994663918617741,0.10938678634034776,0.11329578841264608
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,hoeffding_h3_0.025,5,5e-05,2.2360120751015635e-05,1.6235056817057864e-05,0.00011667943042027703
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,hoeffding_h3_0.05,19,0.00019,4.358484828469637e-05,0.00011439616441690684,0.0002966927049072434
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,tango_0.025,13324,0.13324,0.0010746492562692257,0.13113938428284366,0.13536191252815755
19,COMPLETE,-0.125,0.15,0.0,0.5,fault_time,0.4,tango_0.05,20377,0.20377,0.0012737652338637604,0.20127708405997308,0.20628010883018266
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
